film,year_film,year_ceremony,ceremony,category,name,winner
Divorce American Style,1967,1968,40,WRITING (Story and Screenplay--written directly for the screen),Story by Robert Kaufman;  Screenplay by Norman Lear,FALSE
La Guerre Est Finie,1967,1968,40,WRITING (Story and Screenplay--written directly for the screen),Jorge Semprun,FALSE
The Heart Is a Lonely Hunter,1968,1969,41,ACTOR,Alan Arkin,FALSE
The Fixer,1968,1969,41,ACTOR,Alan Bates,FALSE
The Subject Was Roses,1968,1969,41,ACTOR IN A SUPPORTING ROLE,Jack Albertson,TRUE
Star!,1968,1969,41,ACTOR IN A SUPPORTING ROLE,Daniel Massey,FALSE
Isadora,1968,1969,41,ACTRESS,Vanessa Redgrave,FALSE
"Rachel, Rachel",1968,1969,41,ACTRESS,Joanne Woodward,FALSE
The Shoes of the Fisherman,1968,1969,41,ART DIRECTION,"Art Direction:  George W. Davis, Edward Carfagno",FALSE
War and Peace,1968,1969,41,ART DIRECTION,"Art Direction:  Mikhail Bogdanov, Gennady Myasnikov;  Set Decoration:  G. Koshelev, V. Uvarov",FALSE
A Few Notes on Our Food Problem,1968,1969,41,DOCUMENTARY (Feature),"James Blue, Producer",FALSE
Journey into Self,1968,1969,41,DOCUMENTARY (Feature),"Bill McGaw, Producer",TRUE
The Legendary Champions,1968,1969,41,DOCUMENTARY (Feature),"William Cayton, Producer",FALSE
Other Voices,1968,1969,41,DOCUMENTARY (Feature),"David H. Sawyer, Producer",FALSE
Young Americans,1968,1969,41,DOCUMENTARY (Feature),"Robert Cohn and Alex Grasshoff, Producers",FALSE
The House That Ananda Built,1968,1969,41,DOCUMENTARY (Short Subject),"Fali Bilimoria, Producer",FALSE
The Revolving Door,1968,1969,41,DOCUMENTARY (Short Subject),"Lee R. Bobker, Producer",FALSE
A Space to Grow,1968,1969,41,DOCUMENTARY (Short Subject),"Thomas P. Kelly, Jr., Producer",FALSE
A Way Out of the Wilderness,1968,1969,41,DOCUMENTARY (Short Subject),"Dan E. Weisburd, Producer",FALSE
Why Man Creates,1968,1969,41,DOCUMENTARY (Short Subject),"Saul Bass, Producer",TRUE
Wild in the Streets,1968,1969,41,FILM EDITING,"Fred Feitshans, Eve Newman",FALSE
The Boys of Paul Street,1968,1969,41,FOREIGN LANGUAGE FILM,Hungary,FALSE
The Firemen's Ball,1968,1969,41,FOREIGN LANGUAGE FILM,Czechoslovakia,FALSE
The Girl with the Pistol,1968,1969,41,FOREIGN LANGUAGE FILM,Italy,FALSE
Stolen Kisses,1968,1969,41,FOREIGN LANGUAGE FILM,France,FALSE
The Fox,1968,1969,41,MUSIC (Original Score--for a motion picture [not a musical]),Lalo Schifrin,FALSE
Finian's Rainbow,1968,1969,41,MUSIC (Score of a Musical Picture--original or adaptation),Adaptation score by Ray Heindorf,FALSE
The Young Girls of Rochefort,1968,1969,41,MUSIC (Score of a Musical Picture--original or adaptation),Music and adaptation score by Michel Legrand; lyrics by Jacques Demy,FALSE
For Love of Ivy,1968,1969,41,MUSIC (Song--Original for the Picture),Music by Quincy Jones; Lyrics by Bob Russell,FALSE
The House That Jack Built,1968,1969,41,SHORT SUBJECT (Cartoon),"Wolf Koenig and Jim MacKay, Producers",FALSE
The Magic Pear Tree,1968,1969,41,SHORT SUBJECT (Cartoon),"Jimmy Murakami, Producer",FALSE
Windy Day,1968,1969,41,SHORT SUBJECT (Cartoon),"John Hubley and Faith Hubley, Producers",FALSE
Winnie the Pooh and the Blustery Day,1968,1969,41,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",TRUE
The Dove,1968,1969,41,SHORT SUBJECT (Live Action),"George Coe, Sidney Davis and Anthony Lover, Producers",FALSE
Duo,1968,1969,41,SHORT SUBJECT (Live Action),National Film Board of Canada,FALSE
Prelude,1968,1969,41,SHORT SUBJECT (Live Action),"John Astin, Producer",FALSE
Robert Kennedy Remembered,1968,1969,41,SHORT SUBJECT (Live Action),"Charles Guggenheim, Producer",TRUE
Hot Millions,1968,1969,41,WRITING (Story and Screenplay--written directly for the screen),"Ira Wallach, Peter Ustinov",FALSE
Anne of the Thousand Days,1969,1970,42,ACTOR,Richard Burton,FALSE
"Goodbye, Mr. Chips",1969,1970,42,ACTOR,Peter O'Toole,FALSE
The Reivers,1969,1970,42,ACTOR IN A SUPPORTING ROLE,Rupert Crosse,FALSE
Bob & Carol & Ted & Alice,1969,1970,42,ACTOR IN A SUPPORTING ROLE,Elliott Gould,FALSE
The Sterile Cuckoo,1969,1970,42,ACTRESS,Liza Minnelli,FALSE
The Happy Ending,1969,1970,42,ACTRESS,Jean Simmons,FALSE
Last Summer,1969,1970,42,ACTRESS IN A SUPPORTING ROLE,Catherine Burns,FALSE
"Gaily, Gaily",1969,1970,42,ART DIRECTION,"Art Direction:  Robert Boyle, George B. Chan;  Set Decoration:  Edward Boyle, Carl Biddiscombe",FALSE
Sweet Charity,1969,1970,42,ART DIRECTION,"Art Direction:  Alexander Golitzen, George C. Webb;  Set Decoration:  Jack D. Moore",FALSE
Marooned,1969,1970,42,CINEMATOGRAPHY,Daniel Fapp,FALSE
Alice's Restaurant,1969,1970,42,DIRECTING,Arthur Penn,FALSE
Z,1969,1970,42,DIRECTING,Costa-Gavras,FALSE
Arthur Rubinstein - The Love of Life,1969,1970,42,DOCUMENTARY (Feature),"Bernard Chevry, Producer",TRUE
Before the Mountain Was Moved,1969,1970,42,DOCUMENTARY (Feature),"Robert K. Sharpe, Producer",FALSE
In the Year of the Pig,1969,1970,42,DOCUMENTARY (Feature),"Emile de Antonio, Producer",FALSE
The Olympics in Mexico,1969,1970,42,DOCUMENTARY (Feature),Comite Organizador de los Juegos de la XIX Olimpiada,FALSE
The Wolf Men,1969,1970,42,DOCUMENTARY (Feature),"Irwin Rosten, Producer",FALSE
Czechoslovakia 1968,1969,1970,42,DOCUMENTARY (Short Subject),"Denis Sanders and Robert M. Fresco, Producers",TRUE
An Impression of John Steinbeck: Writer,1969,1970,42,DOCUMENTARY (Short Subject),"Donald Wrye, Producer",FALSE
Jenny Is a Good Thing,1969,1970,42,DOCUMENTARY (Short Subject),"Joan Horvath, Producer",FALSE
Leo Beuerman,1969,1970,42,DOCUMENTARY (Short Subject),"Arthur H. Wolf and Russell A. Mosser, Producers",FALSE
The Magic Machines,1969,1970,42,DOCUMENTARY (Short Subject),"Joan Keller Stern, Producer",FALSE
The Secret of Santa Vittoria,1969,1970,42,FILM EDITING,"William Lyon, Earle Herdan",FALSE
Ã…dalen '31,1969,1970,42,FOREIGN LANGUAGE FILM,Sweden,FALSE
The Battle of Neretva,1969,1970,42,FOREIGN LANGUAGE FILM,Yugoslavia,FALSE
The Brothers Karamazov,1969,1970,42,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,FALSE
My Night at Maud's,1969,1970,42,FOREIGN LANGUAGE FILM,France,FALSE
It's Tough to Be a Bird,1969,1970,42,SHORT SUBJECT (Cartoon),"Ward Kimball, Producer",TRUE
Of Men and Demons,1969,1970,42,SHORT SUBJECT (Cartoon),"John Hubley and Faith Hubley, Producers",FALSE
Walking,1969,1970,42,SHORT SUBJECT (Cartoon),"Ryan Larkin, Producer",FALSE
Blake,1969,1970,42,SHORT SUBJECT (Live Action),"Doug Jackson, Producer",FALSE
People Soup,1969,1970,42,SHORT SUBJECT (Live Action),"Marc Merson, Producer",FALSE
"Krakatoa, East of Java",1969,1970,42,SPECIAL VISUAL EFFECTS,"Eugene Lourie, Alex Weldon",FALSE
"Goodbye, Columbus",1969,1970,42,WRITING (Screenplay--based on material from another medium),Arnold Schulman,FALSE
I Never Sang for My Father,1970,1971,43,ACTOR,Melvyn Douglas,FALSE
The Great White Hope,1970,1971,43,ACTOR,James Earl Jones,FALSE
Lovers and Other Strangers,1970,1971,43,ACTOR IN A SUPPORTING ROLE,Richard Castellano,FALSE
Diary of a Mad Housewife,1970,1971,43,ACTRESS,Carrie Snodgress,FALSE
The Landlord,1970,1971,43,ACTRESS IN A SUPPORTING ROLE,Lee Grant,FALSE
M*A*S*H,1970,1971,43,ACTRESS IN A SUPPORTING ROLE,Sally Kellerman,FALSE
The Molly Maguires,1970,1971,43,ART DIRECTION,Art Direction:  Tambi Larsen;  Set Decoration:  Darrell Silvera,FALSE
Cromwell,1970,1971,43,COSTUME DESIGN,Nino Novarese,TRUE
Darling Lili,1970,1971,43,COSTUME DESIGN,"Donald Brooks, Jack Bear",FALSE
The Hawaiians,1970,1971,43,COSTUME DESIGN,Bill Thomas,FALSE
Fellini Satyricon,1970,1971,43,DIRECTING,Federico Fellini,FALSE
Chariots of the Gods,1970,1971,43,DOCUMENTARY (Feature),"Dr. Harald Reinl, Producer",FALSE
Jack Johnson,1970,1971,43,DOCUMENTARY (Feature),"Jim Jacobs, Producer",FALSE
King: A Filmed Record...Montgomery to Memphis,1970,1971,43,DOCUMENTARY (Feature),"Ely Landau, Producer",FALSE
Say Goodbye,1970,1971,43,DOCUMENTARY (Feature),"David H. Vowell, Producer",FALSE
The Gifts,1970,1971,43,DOCUMENTARY (Short Subject),"Robert McBride, Producer",FALSE
Interviews with My Lai Veterans,1970,1971,43,DOCUMENTARY (Short Subject),"Joseph Strick, Producer",TRUE
A Long Way from Nowhere,1970,1971,43,DOCUMENTARY (Short Subject),"Bob Aller, Producer",FALSE
Oisin,1970,1971,43,DOCUMENTARY (Short Subject),"Vivien Carey and Patrick Carey, Producers",FALSE
Time Is Running Out,1970,1971,43,DOCUMENTARY (Short Subject),"Horst Dallmayr and Robert Menegoz, Producers",FALSE
First Love,1970,1971,43,FOREIGN LANGUAGE FILM,Switzerland,FALSE
Hoa-Binh,1970,1971,43,FOREIGN LANGUAGE FILM,France,FALSE
Investigation of a Citizen above Suspicion,1970,1971,43,FOREIGN LANGUAGE FILM,Italy,TRUE
Paix Sur Les Champs,1970,1971,43,FOREIGN LANGUAGE FILM,Belgium,FALSE
Tristana,1970,1971,43,FOREIGN LANGUAGE FILM,Spain,FALSE
Sunflower,1970,1971,43,MUSIC (Original Score),Henry Mancini,FALSE
The Baby Maker,1970,1971,43,MUSIC (Original Song Score),Music by Fred Karlin; lyrics by Tylwyth Kymry,FALSE
Pieces of Dreams,1970,1971,43,MUSIC (Song--Original for the Picture),Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,FALSE
Madron,1970,1971,43,MUSIC (Song--Original for the Picture),Music by Riz Ortolani; Lyrics by Arthur Hamilton,FALSE
The Further Adventures of Uncle Sam: Part Two,1970,1971,43,SHORT SUBJECT (Cartoon),"Robert Mitchell and Dale Case, Producers",FALSE
Is It Always Right to Be Right?,1970,1971,43,SHORT SUBJECT (Cartoon),"Nick Bosustow, Producer",TRUE
The Shepherd,1970,1971,43,SHORT SUBJECT (Cartoon),"Cameron Guess, Producer",FALSE
The Resurrection of Broncho Billy,1970,1971,43,SHORT SUBJECT (Live Action),"John Longenecker, Producer",TRUE
Shut Up...I'm Crying,1970,1971,43,SHORT SUBJECT (Live Action),"Robert Siegler, Producer",FALSE
Sticky My Fingers...Fleet My Feet,1970,1971,43,SHORT SUBJECT (Live Action),"John Hancock, Producer",FALSE
Kotch,1971,1972,44,ACTOR,Walter Matthau,FALSE
Sometimes a Great Notion,1971,1972,44,ACTOR IN A SUPPORTING ROLE,Richard Jaeckel,FALSE
"Mary, Queen of Scots",1971,1972,44,ACTRESS,Vanessa Redgrave,FALSE
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?,1971,1972,44,ACTRESS IN A SUPPORTING ROLE,Barbara Harris,FALSE
Death in Venice,1971,1972,44,COSTUME DESIGN,Piero Tosi,FALSE
What's the Matter with Helen?,1971,1972,44,COSTUME DESIGN,Morton Haack,FALSE
Alaska Wilderness Lake,1971,1972,44,DOCUMENTARY (Feature),"Alan Landsburg, Producer",FALSE
The Hellstrom Chronicle,1971,1972,44,DOCUMENTARY (Feature),"Walon Green, Producer",TRUE
On Any Sunday,1971,1972,44,DOCUMENTARY (Feature),"Bruce Brown, Producer",FALSE
The RA Expeditions,1971,1972,44,DOCUMENTARY (Feature),"Lennart Ehrenborg and Thor Heyerdahl, Producers",FALSE
The Sorrow and the Pity,1971,1972,44,DOCUMENTARY (Feature),"Marcel Ophuls, Producer",FALSE
Adventures in Perception,1971,1972,44,DOCUMENTARY (Short Subject),"Han van Gelder, Producer",FALSE
Art Is...,1971,1972,44,DOCUMENTARY (Short Subject),"Julian Krainin and DeWitt L. Sage, Jr., Producers",FALSE
The Numbers Start with the River,1971,1972,44,DOCUMENTARY (Short Subject),"Donald Wrye, Producer",FALSE
Sentinels of Silence,1971,1972,44,DOCUMENTARY (Short Subject),"Manuel Arango and Robert Amram, Producers",TRUE
Somebody Waiting,1971,1972,44,DOCUMENTARY (Short Subject),"Hal Riney, Dick Snider and Sherwood Omens, Producers",FALSE
Dodes'ka-Den,1971,1972,44,FOREIGN LANGUAGE FILM,Japan,FALSE
The Emigrants,1971,1972,44,FOREIGN LANGUAGE FILM,Sweden,FALSE
The Garden of the Finzi Continis,1971,1972,44,FOREIGN LANGUAGE FILM,Italy,TRUE
The Policeman,1971,1972,44,FOREIGN LANGUAGE FILM,Israel,FALSE
Tchaikovsky,1971,1972,44,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,FALSE
The Boy Friend,1971,1972,44,MUSIC (Scoring: Adaptation and Original Song Score),Adaptation Score by Peter Maxwell Davies and Peter Greenwell,FALSE
Willy Wonka and the Chocolate Factory,1971,1972,44,MUSIC (Scoring: Adaptation and Original Song Score),Song Score by Leslie Bricusse and Anthony Newley; Adaptation Score by Walter Scharf,FALSE
Bless the Beasts & Children,1971,1972,44,MUSIC (Song--Original for the Picture),"Music and Lyrics by Barry DeVorzon and Perry Botkin, Jr.",FALSE
The Crunch Bird,1971,1972,44,SHORT SUBJECT (Animated),"Ted Petok, Producer",TRUE
Good Morning,1971,1972,44,SHORT SUBJECT (Live Action),"Denny Evans and Ken Greenwald, Producers",FALSE
The Rehearsal,1971,1972,44,SHORT SUBJECT (Live Action),"Stephen F. Verona, Producer",FALSE
When Dinosaurs Ruled the Earth,1971,1972,44,SPECIAL VISUAL EFFECTS,"Jim Danforth, Roger Dicken",FALSE
The Conformist,1971,1972,44,WRITING (Screenplay--based on material from another medium),Bernardo Bertolucci,FALSE
The Ruling Class,1972,1973,45,ACTOR,Peter O'Toole,FALSE
Sounder,1972,1973,45,ACTOR,Paul Winfield,FALSE
Lady Sings the Blues,1972,1973,45,ACTRESS,Diana Ross,FALSE
Travels with My Aunt,1972,1973,45,ACTRESS,Maggie Smith,FALSE
Butterflies Are Free,1972,1973,45,ACTRESS IN A SUPPORTING ROLE,Eileen Heckart,TRUE
Pete 'n' Tillie,1972,1973,45,ACTRESS IN A SUPPORTING ROLE,Geraldine Page,FALSE
Young Winston,1972,1973,45,ART DIRECTION,"Art Direction:  Geoffrey Drake, Don Ashton, John Graysmark, William Hutchinson;  Set Decoration:  Peter James",FALSE
1776,1972,1973,45,CINEMATOGRAPHY,"Harry Stradling, Jr.",FALSE
Ape and Super-Ape,1972,1973,45,DOCUMENTARY (Feature),"Bert Haanstra, Producer",FALSE
Manson,1972,1973,45,DOCUMENTARY (Feature),"Robert Hendrickson and Laurence Merrick, Producers",FALSE
Marjoe,1972,1973,45,DOCUMENTARY (Feature),"Howard Smith and Sarah Kernochan, Producers",TRUE
The Silent Revolution,1972,1973,45,DOCUMENTARY (Feature),"Eckehard Munck, Producer",FALSE
Hundertwasser's Rainy Day,1972,1973,45,DOCUMENTARY (Short Subject),"Peter Schamoni, Producer",FALSE
K-Z,1972,1973,45,DOCUMENTARY (Short Subject),"Giorgio Treves, Producer",FALSE
Selling Out,1972,1973,45,DOCUMENTARY (Short Subject),"Tadeusz Jaworski, Producer",FALSE
This Tiny World,1972,1973,45,DOCUMENTARY (Short Subject),"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers",TRUE
The Tide of Traffic,1972,1973,45,DOCUMENTARY (Short Subject),"Humphrey Swingler, Producer",FALSE
The Hot Rock,1972,1973,45,FILM EDITING,"Frank P. Keller, Fred W. Berger",FALSE
The Dawns Here Are Quiet,1972,1973,45,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,FALSE
The Discreet Charm of the Bourgeoisie,1972,1973,45,FOREIGN LANGUAGE FILM,France,TRUE
I Love You Rosa,1972,1973,45,FOREIGN LANGUAGE FILM,Israel,FALSE
My Dearest SeÃ±orita,1972,1973,45,FOREIGN LANGUAGE FILM,Spain,FALSE
The New Land,1972,1973,45,FOREIGN LANGUAGE FILM,Sweden,FALSE
images,1972,1973,45,MUSIC (Original Dramatic Score),John Williams,FALSE
Limelight,1972,1973,45,MUSIC (Original Dramatic Score),"Charles Chaplin, Raymond Rasch, Larry Russell",TRUE
Napoleon and Samantha,1972,1973,45,MUSIC (Original Dramatic Score),Buddy Baker,FALSE
Man of La Mancha,1972,1973,45,MUSIC (Scoring: Adaptation and Original Song Score),Adaptation Score by Laurence Rosenthal,FALSE
Ben,1972,1973,45,MUSIC (Song--Original for the Picture),Music by Walter Scharf; Lyrics by Don Black,FALSE
The Little Ark,1972,1973,45,MUSIC (Song--Original for the Picture),Music by Fred Karlin; Lyrics by Marsha Karlin,FALSE
The Stepmother,1972,1973,45,MUSIC (Song--Original for the Picture),Music by Sammy Fain; Lyrics by Paul Francis Webster,FALSE
Kama Sutra Rides Again,1972,1973,45,SHORT SUBJECT (Animated),"Bob Godfrey, Producer",FALSE
Tup Tup,1972,1973,45,SHORT SUBJECT (Animated),"Nedeljko Dragic, Producer",FALSE
Frog Story,1972,1973,45,SHORT SUBJECT (Live Action),"Ron Satlof and Ray Gideon, Producers",FALSE
Norman Rockwell's World...An American Dream,1972,1973,45,SHORT SUBJECT (Live Action),"Richard Barclay, Producer",TRUE
Solo,1972,1973,45,SHORT SUBJECT (Live Action),"David Adams, Producer",FALSE
Murmur of the Heart,1972,1973,45,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Louis Malle,FALSE
Last Tango in Paris,1973,1974,46,ACTOR,Marlon Brando,FALSE
Save the Tiger,1973,1974,46,ACTOR,Jack Lemmon,TRUE
Bang the Drum Slowly,1973,1974,46,ACTOR IN A SUPPORTING ROLE,Vincent Gardenia,FALSE
The Paper Chase,1973,1974,46,ACTOR IN A SUPPORTING ROLE,John Houseman,TRUE
A Touch of Class,1973,1974,46,ACTRESS,Glenda Jackson,TRUE
Cinderella Liberty,1973,1974,46,ACTRESS,Marsha Mason,FALSE
"Summer Wishes, Winter Dreams",1973,1974,46,ACTRESS,Joanne Woodward,FALSE
Brother Sun Sister Moon,1973,1974,46,ART DIRECTION,"Art Direction:  Lorenzo Mongiardino, Gianni Quaranta;  Set Decoration:  Carmelo Patrono",FALSE
Tom Sawyer,1973,1974,46,ART DIRECTION,Art Direction:  Philip Jefferies;  Set Decoration:  Robert de Vestel,FALSE
Cries and Whispers,1973,1974,46,CINEMATOGRAPHY,Sven Nykvist,TRUE
Jonathan Livingston Seagull,1973,1974,46,CINEMATOGRAPHY,Jack Couffer,FALSE
Ludwig,1973,1974,46,COSTUME DESIGN,Piero Tosi,FALSE
Always a New Beginning,1973,1974,46,DOCUMENTARY (Feature),"John D. Goodell, Producer",FALSE
Battle of Berlin,1973,1974,46,DOCUMENTARY (Feature),"Bengt von zur Muehlen, Producer",FALSE
The Great American Cowboy,1973,1974,46,DOCUMENTARY (Feature),"Kieth Merrill, Producer",TRUE
Journey to the Outer Limits,1973,1974,46,DOCUMENTARY (Feature),"Alex Grasshoff, Producer",FALSE
Walls of Fire,1973,1974,46,DOCUMENTARY (Feature),"Gertrude Ross Marks and Edmund F. Penney, Producers",FALSE
Background,1973,1974,46,DOCUMENTARY (Short Subject),"Carmen D'Avino, Producer",FALSE
Children at Work (Paisti Ag Obair),1973,1974,46,DOCUMENTARY (Short Subject),"Louis Marcus, Producer",FALSE
Christo's Valley Curtain,1973,1974,46,DOCUMENTARY (Short Subject),"Albert Maysles and David Maysles, Producers",FALSE
Four Stones for Kanemitsu,1973,1974,46,DOCUMENTARY (Short Subject),"Terry Sanders and June Wayne, Producers",FALSE
Princeton: A Search for Answers,1973,1974,46,DOCUMENTARY (Short Subject),"Julian Krainin and DeWitt L. Sage, Jr., Producers",TRUE
Day for Night,1973,1974,46,FOREIGN LANGUAGE FILM,France,TRUE
The House on Chelouche Street,1973,1974,46,FOREIGN LANGUAGE FILM,Israel,FALSE
L'Invitation,1973,1974,46,FOREIGN LANGUAGE FILM,Switzerland,FALSE
The Pedestrian,1973,1974,46,FOREIGN LANGUAGE FILM,West Germany,FALSE
Turkish Delight,1973,1974,46,FOREIGN LANGUAGE FILM,The Netherlands,FALSE
The Day of the Dolphin,1973,1974,46,MUSIC (Original Dramatic Score),Georges Delerue,FALSE
Frank Film,1973,1974,46,SHORT SUBJECT (Animated),"Frank Mouris, Producer",TRUE
The Legend of John Henry,1973,1974,46,SHORT SUBJECT (Animated),"Nick Bosustow and David Adams, Producers",FALSE
Pulcinella,1973,1974,46,SHORT SUBJECT (Animated),"Emanuele Luzzati and Giulio Gianini, Producers",FALSE
The Bolero,1973,1974,46,SHORT SUBJECT (Live Action),"Allan Miller and William Fertik, Producers",TRUE
Clockmaker,1973,1974,46,SHORT SUBJECT (Live Action),"Richard Gayer, Producer",FALSE
Life Times Nine,1973,1974,46,SHORT SUBJECT (Live Action),"Pen Densham and John Watson, Producers",FALSE
Harry and Tonto,1974,1975,47,ACTOR,Art Carney,TRUE
The Godfather Part II,1974,1975,47,ACTOR,Al Pacino,FALSE
Claudine,1974,1975,47,ACTRESS,Diahann Carroll,FALSE
A Woman under the Influence,1974,1975,47,ACTRESS,Gena Rowlands,FALSE
The Island at the Top of the World,1974,1975,47,ART DIRECTION,"Art Direction:  Peter Ellenshaw, John B. Mansbridge, Walter Tyler, Al Roelofs;  Set Decoration:  Hal Gausman",FALSE
Daisy Miller,1974,1975,47,COSTUME DESIGN,John Furness,FALSE
Antonia: A Portrait of the Woman,1974,1975,47,DOCUMENTARY (Feature),"Judy Collins and Jill Godmilow, Producers",FALSE
The Challenge...A Tribute to Modern Art,1974,1975,47,DOCUMENTARY (Feature),"Herbert Kline, Producer",FALSE
The 81st Blow,1974,1975,47,DOCUMENTARY (Feature),"Jacquot Ehrlich, David Bergman and Haim Gouri, Producers",FALSE
The Wild and the Brave,1974,1975,47,DOCUMENTARY (Feature),"Natalie R. Jones and Eugene S. Jones, Producers",FALSE
City Out of Wilderness,1974,1975,47,DOCUMENTARY (Short Subject),"Francis Thompson, Producer",FALSE
Don't,1974,1975,47,DOCUMENTARY (Short Subject),"Robin Lehman, Producer",TRUE
Exploratorium,1974,1975,47,DOCUMENTARY (Short Subject),"Jon Boorstin, Producer",FALSE
John Muir's High Sierra,1974,1975,47,DOCUMENTARY (Short Subject),"Dewitt Jones and Lesley Foster, Producers",FALSE
Naked Yoga,1974,1975,47,DOCUMENTARY (Short Subject),"Ronald S. Kass and Mervyn Lloyd, Producers",FALSE
Amarcord,1974,1975,47,FOREIGN LANGUAGE FILM,Italy,TRUE
Cats' Play,1974,1975,47,FOREIGN LANGUAGE FILM,Hungary,FALSE
The Deluge,1974,1975,47,FOREIGN LANGUAGE FILM,Poland,FALSE
"Lacombe, Lucien",1974,1975,47,FOREIGN LANGUAGE FILM,France,FALSE
The Truce,1974,1975,47,FOREIGN LANGUAGE FILM,Argentina,FALSE
Shanks,1974,1975,47,MUSIC (Original Dramatic Score),Alex North,FALSE
Gold,1974,1975,47,MUSIC (Song),Music by Elmer Bernstein; Lyrics by Don Black,FALSE
Closed Mondays,1974,1975,47,SHORT FILM (Animated),"Will Vinton and Bob Gardiner, Producers",TRUE
The Family That Dwelt Apart,1974,1975,47,SHORT FILM (Animated),"Yvon Mallette and Robert Verrall, Producers",FALSE
Voyage to Next,1974,1975,47,SHORT FILM (Animated),"Faith Hubley and John Hubley, Producers",FALSE
Winnie the Pooh and Tigger Too,1974,1975,47,SHORT FILM (Animated),"Wolfgang Reitherman, Producer",FALSE
Climb,1974,1975,47,SHORT FILM (Live Action),"Dewitt Jones, Producer",FALSE
One-Eyed Men Are Kings,1974,1975,47,SHORT FILM (Live Action),"Paul Claudon and Edmond Sechan, Producers",TRUE
Planet Ocean,1974,1975,47,SHORT FILM (Live Action),"George V. Casey, Producer",FALSE
The Violin,1974,1975,47,SHORT FILM (Live Action),"Andrew Welsh and George Pastic, Producers",FALSE
The Apprenticeship of Duddy Kravitz,1974,1975,47,WRITING (Screenplay Adapted from Other Material),Screenplay by Mordecai Richler;  Adaptation by Lionel Chetwynd,FALSE
One Flew over the Cuckoo's Nest,1975,1976,48,ACTOR,Jack Nicholson,TRUE
The Man in the Glass Booth,1975,1976,48,ACTOR,Maximilian Schell,FALSE
"Give 'em Hell, Harry!",1975,1976,48,ACTOR,James Whitmore,FALSE
The Day of the Locust,1975,1976,48,ACTOR IN A SUPPORTING ROLE,Burgess Meredith,FALSE
The Story of Adele H.,1975,1976,48,ACTRESS,Isabelle Adjani,FALSE
Hedda,1975,1976,48,ACTRESS,Glenda Jackson,FALSE
Hester Street,1975,1976,48,ACTRESS,Carol Kane,FALSE
"Farewell, My Lovely",1975,1976,48,ACTRESS IN A SUPPORTING ROLE,Sylvia Miles,FALSE
Jacqueline Susann's Once Is Not Enough,1975,1976,48,ACTRESS IN A SUPPORTING ROLE,Brenda Vaccaro,FALSE
Funny Lady,1975,1976,48,CINEMATOGRAPHY,James Wong Howe,FALSE
The Magic Flute,1975,1976,48,COSTUME DESIGN,"Henny Noremark, Karin Erskine",FALSE
The California Reich,1975,1976,48,DOCUMENTARY (Feature),"Walter F. Parkes and Keith F. Critchlow, Producers",FALSE
Fighting for Our Lives,1975,1976,48,DOCUMENTARY (Feature),"Glen Pearcy, Producer",FALSE
The Incredible Machine,1975,1976,48,DOCUMENTARY (Feature),"Irwin Rosten, Producer",FALSE
The Man Who Skied down Everest,1975,1976,48,DOCUMENTARY (Feature),"F. R. Crawley, James Hager and Dale Hartleben, Producers",TRUE
The Other Half of the Sky: A China Memoir,1975,1976,48,DOCUMENTARY (Feature),"Shirley MacLaine, Producer",FALSE
Arthur and Lillie,1975,1976,48,DOCUMENTARY (Short Subject),"Jon Else, Steven Kovacs and Kristine Samuelson, Producers",FALSE
The End of the Game,1975,1976,48,DOCUMENTARY (Short Subject),"Claire Wilbur and Robin Lehman, Producers",TRUE
Millions of Years Ahead of Man,1975,1976,48,DOCUMENTARY (Short Subject),"Manfred Baier, Producer",FALSE
Probes in Space,1975,1976,48,DOCUMENTARY (Short Subject),"George V. Casey, Producer",FALSE
Whistling Smith,1975,1976,48,DOCUMENTARY (Short Subject),"Barrie Howells and Michael Scott, Producers",FALSE
Dersu Uzala,1975,1976,48,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,TRUE
Land of Promise,1975,1976,48,FOREIGN LANGUAGE FILM,Poland,FALSE
Letters from Marusia,1975,1976,48,FOREIGN LANGUAGE FILM,Mexico,FALSE
Sandakan No. 8,1975,1976,48,FOREIGN LANGUAGE FILM,Japan,FALSE
"Birds Do It, Bees Do It",1975,1976,48,MUSIC (Original Score),Gerald Fried,FALSE
Bite the Bullet,1975,1976,48,MUSIC (Original Score),Alex North,FALSE
Whiffs,1975,1976,48,MUSIC (Original Song),Music by George Barrie; Lyrics by Sammy Cahn,FALSE
The Other Side of the Mountain,1975,1976,48,MUSIC (Original Song),Music by Charles Fox; Lyrics by Norman Gimbel,FALSE
Mahogany,1975,1976,48,MUSIC (Original Song),Music by Michael Masser; Lyrics by Gerry Goffin,FALSE
Great,1975,1976,48,SHORT FILM (Animated),"Bob Godfrey, Producer",TRUE
Kick Me,1975,1976,48,SHORT FILM (Animated),"Robert Swarthe, Producer",FALSE
